,country,total_records,date_range_days,avg_daily_solar_energy,max_daily_solar_energy,annual_solar_energy,avg_daily_ghi,max_daily_ghi,avg_dni,avg_dhi,avg_temperature,avg_humidity,avg_wind_speed,total_precipitation,rainy_days,solar_hours,avg_daily_solar_hours,clear_sky_ratio,clear_sky_days,dry_season_ghi,wet_season_ghi,solar_potential_score
Benin,Benin,517707,364,5.598698765938069,7.289716666666666,2049.1237483333334,236.14342711008396,1232.0,167.14409134896766,113.16675976952213,28.145624069212897,54.57729642442541,2.065492836681752,581.7,66,249095,680.5874316939891,0.6965973984314047,201,242.94286966494317,232.02131516294602,71.56517250974966
Togo,Togo,516343,364,5.2910751366120214,7.187811666666667,1936.5335,223.8573896501041,1196.0,147.96893634657584,112.7772192128101,27.72746875623374,55.182568370250024,2.3121672996438414,491.4,96,247611,676.5327868852459,0.6909524252226585,184,237.00411185616272,213.1245248917707,70.636652173968
Sierra Leone,Sierra Leone,509053,364,4.339810150273224,6.718255,1588.370515,186.0518062822219,1094.0,104.21023252981519,110.50360119673199,26.212833830662042,79.75000049110801,1.089577116724585,2117.9999999999995,186,236556,646.327868852459,0.49701313335995395,145,198.81266294884463,175.5747056855529,64.33927363751202
